Record_ID,Calling_Agents,Calling_Agents_Description
54,"%5BFBAN/FB4A;FBAV/248.1.0.44.116;FBBV/184540727;FBDM/%7Bdensity=1.5,width=540,height=960%7D;FBLC/en_GB;FBRV/0;FBCR/JIO%204G;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-J200G;FBSV/5.1.1;FBOP/19;FBCA/armeabi-v7a:armeabi;%5D",Facebook App 248.1 on Samsung SM-J200G
55,"%5BFBAN/FB4A;FBAV/248.1.0.44.116;FBBV/184540786;FBDM/%7Bdensity=1.75,width=720,height=1481%7D;FBLC/en_GB;FBRV/186600517;FBCR/airtel;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-M107F;FBSV/9;FBOP/19;FBCA/arm64-v8a:;%5D",Facebook App 248.1 on Samsung SM-M107F
56,"%5BFBAN/FB4A;FBAV/250.0.0.26.241;FBBV/187584952;FBDM/%7Bdensity=3.0,width=1080,height=2113%7D;FBLC/en_GB;FBRV/189107874;FBCR/Jio%204G;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-M305F;FBSV/9;FBOP/19;FBCA/arm64-v8a:;%5D",Facebook App 250 on Samsung SM-M305F
57,"%5BFBAN/FB4A;FBAV/251.0.0.31.111;FBBV/188827981;FBDM/%7Bdensity=1.5,width=540,height=960%7D;FBLC/en_US;FBRV/192128667;FBCR/Robi;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-G532F;FBSV/6.0.1;FBOP/19;FBCA/armeabi-v7a:armeabi;%5D",Facebook App 251 on Samsung SM-G532F
58,"%5BFBAN/FB4A;FBAV/251.0.0.31.111;FBBV/188827996;FBDM/%7Bdensity=2.0,width=720,height=1424%7D;FBLC/en_US;FBRV/192128667;FBCR/Jio%204G;FBMF/OPPO;FBBD/OPPO;FBPN/com.facebook.katana;FBDV/CPH1809;FBSV/8.1.0;FBOP/1;FBCA/armeabi-v7a:armeabi;%5D",Facebook App 251
59,"%5BFBAN/FB4A;FBAV/251.0.0.31.111;FBBV/188827996;FBDM/%7Bdensity=2.0,width=720,height=1436%7D;FBLC/en_US;FBRV/0;FBCR/Jio%204G;FBMF/vivo;FBBD/vivo;FBPN/com.facebook.katana;FBDV/vivo%201812;FBSV/8.1.0;FBOP/1;FBCA/armeabi-v7a:armeabi;%5D",Facebook App 251 on Vivo
60,"%5BFBAN/FB4A;FBAV/251.0.0.31.111;FBBV/188827996;FBDM/%7Bdensity=2.0,width=720,height=1436%7D;FBLC/en_US;FBRV/192128667;FBCR/Jio%204G;FBMF/vivo;FBBD/vivo;FBPN/com.facebook.katana;FBDV/vivo%201816;FBSV/8.1.0;FBOP/1;FBCA/armeabi-v7a:armeabi;%5D",Facebook App 251 on Vivo
61,"%5BFBAN/FB4A;FBAV/251.0.0.31.111;FBBV/188827997;FBDM/%7Bdensity=3.0,width=1080,height=2060%7D;FBLC/en_US;FBRV/192128667;FBCR/Jio%204G;FBMF/HUAWEI;FBBD/HONOR;FBPN/com.facebook.katana;FBDV/LLD-AL20;FBSV/8.0.0;FBOP/1;FBCA/armeabi-v7a:armeabi;%5D",Facebook App 251 on Huawei
62,"%5BFBAN/FB4A;FBAV/251.0.0.31.111;FBBV/188828004;FBDM/%7Bdensity=3.0,width=1080,height=2028%7D;FBLC/en_US;FBRV/0;FBCR/IND%20airtel;FBMF/asus;FBBD/asus;FBPN/com.facebook.katana;FBDV/ASUS_X00TD;FBSV/9;FBOP/19;FBCA/arm64-v8a:;%5D",Facebook App 251 on ARM 64
63,"%5BFBAN/FB4A;FBAV/252.0.0.22.355;FBBV/191850032;FBDM/%7Bdensity=2.0,width=720,height=1280%7D;FBLC/en_GB;FBRV/0;FBCR/Vi%20India;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-J500F;FBSV/6.0.1;FBOP/19;FBCA/armeabi-v7a:armeabi;%5D",Facebook App 252 on Samsung SM-J500F
64,"%5BFBAN/FB4A;FBAV/252.0.0.22.355;FBBV/191850073;FBDM/%7Bdensity=1.75,width=720,height=1454%7D;FBLC/en_GB;FBRV/192979615;FBCR/Vodafone%20IN;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-J415F;FBSV/9;FBOP/19;FBCA/armeabi-v7a:armeabi;%5D",Facebook App 252 on Samsung SM-J415F
65,"%5BFBAN/FB4A;FBAV/253.0.0.28.116;FBBV/193013909;FBDM/%7Bdensity=1.5,width=540,height=960%7D;FBLC/en_GB;FBRV/194773382;FBCR/Robi-Stay%20Home;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-J200H;FBSV/5.1.1;FBOP/1;FBCA/armeabi-v7a:armeabi;%5D",Facebook App 253 on Samsung SM-J200H
66,"%5BFBAN/FB4A;FBAV/253.0.0.28.116;FBBV/193013927;FBDM/%7Bdensity=2.0,width=720,height=1280%7D;FBLC/en_US;FBRV/194773382;FBCR/Jio%204G;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-J701F;FBSV/9;FBOP/19;FBCA/armeabi-v7a:armeabi;%5D",Facebook App 253 on Samsung SM-J701F
67,"%5BFBAN/FB4A;FBAV/254.0.0.37.125;FBBV/194387497;FBDM/%7Bdensity=2.75,width=1080,height=2030%7D;FBLC/en_US;FBRV/195803460;FBCR/Jio%204G;FBMF/Xiaomi;FBBD/xiaomi;FBPN/com.facebook.katana;FBDV/Redmi%20Note%205%20pro;FBSV/8.1.0;FBOP/1;FBCA/armeabi-v7a:armeabi;%5D",Facebook App 254 on Redmi
68,"%5BFBAN/FB4A;FBAV/254.0.0.37.125;FBBV/194387519;FBDM/%7Bdensity=2.0,width=720,height=1369%7D;FBLC/en_US;FBRV/0;FBCR/airtel;FBMF/Xiaomi;FBBD/xiaomi;FBPN/com.facebook.katana;FBDV/Redmi%207;FBSV/9;FBOP/1;FBCA/arm64-v8a:;%5D",Facebook App 254 on Redmi
